CustomerID,R,F,M,RFMSegment,RFMScore,CustomerGroup
0,12346.0,3,3,1,331,7,Sliver
1,12608.0,4,4,3,443,11,Bronze
2,12745.0,4,3,3,433,10,Bronze
3,12746.0,4,4,4,444,12,Bronze
4,12747.0,1,1,1,111,3,Gold
5,12748.0,1,1,1,111,3,Gold
6,12749.0,1,1,1,111,3,Gold
7,12777.0,4,3,3,433,10,Bronze
8,12819.0,4,4,3,443,11,Bronze
9,12820.0,1,1,1,111,3,Gold
10,12821.0,3,4,4,344,11,Bronze
11,12822.0,2,3,2,232,7,Sliver
12,12823.0,2,4,1,241,7,Sliver
13,12824.0,2,3,3,233,8,Sliver
14,12825.0,4,3,3,433,10,Bronze
15,12826.0,1,1,1,111,3,Gold
16,12827.0,1,3,3,133,7,Sliver
17,12828.0,1,2,2,122,5,Gold
18,12829.0,3,4,3,343,10,Bronze
19,12830.0,2,3,1,231,6,Sliver
20,12831.0,3,3,3,333,9,Bronze
21,12832.0,2,3,3,233,8,Sliver
22,12833.0,3,3,3,333,9,Bronze
23,12834.0,3,4,4,344,11,Bronze
24,12835.0,4,1,1,411,6,Sliver
25,12836.0,2,1,1,211,4,Gold
26,12837.0,3,2,3,323,8,Sliver
27,12838.0,2,1,1,211,4,Gold
28,12839.0,1,1,1,111,3,Gold
29,12840.0,3,1,1,311,5,Gold
30,12841.0,1,1,1,111,3,Gold
31,12842.0,2,3,2,232,7,Sliver
32,12843.0,2,1,1,211,4,Gold
33,12844.0,2,2,3,223,7,Sliver
34,12845.0,3,3,3,333,9,Bronze
35,12846.0,4,4,4,444,12,Bronze
36,12847.0,1,2,2,122,5,Gold
37,12848.0,4,4,4,444,12,Bronze
38,12849.0,2,1,1,211,4,Gold
39,12850.0,4,4,4,444,12,Bronze
40,12851.0,2,2,4,224,8,Sliver
41,12852.0,3,4,4,344,11,Bronze
42,12853.0,3,1,1,311,5,Gold
43,12854.0,2,1,1,211,4,Gold
44,12855.0,3,2,3,323,8,Sliver
45,12856.0,1,1,1,111,3,Gold
46,12857.0,3,2,1,321,6,Sliver
47,12858.0,4,3,4,434,11,Bronze
48,12859.0,4,3,3,433,10,Bronze
49,12860.0,4,4,4,444,12,Bronze
50,12861.0,4,4,4,444,12,Bronze
51,12862.0,4,2,2,422,8,Sliver
52,12863.0,2,3,1,231,6,Sliver
53,12864.0,3,4,4,344,11,Bronze
54,12867.0,2,1,1,211,4,Gold
55,12868.0,3,2,2,322,7,Sliver
56,12869.0,4,3,3,433,10,Bronze
57,12870.0,3,2,2,322,7,Sliver
58,12871.0,2,4,3,243,9,Bronze
59,12872.0,3,1,1,311,5,Gold
60,12873.0,3,3,2,332,8,Sliver
61,12875.0,3,4,2,342,9,Bronze
62,12877.0,1,1,1,111,3,Gold
63,12878.0,3,3,2,332,8,Sliver
64,12879.0,2,4,3,243,9,Bronze
65,12880.0,3,3,3,333,9,Bronze
66,12881.0,3,4,4,344,11,Bronze
67,12882.0,1,4,2,142,7,Sliver
68,12883.0,1,3,3,133,7,Sliver
69,12884.0,2,4,4,244,10,Bronze
70,12885.0,2,2,2,222,6,Sliver
71,12886.0,2,2,2,222,6,Sliver
72,12887.0,4,4,4,444,12,Bronze
73,12888.0,3,4,3,343,10,Bronze
74,12889.0,3,3,3,333,9,Bronze
75,12890.0,1,2,3,123,6,Sliver
76,12891.0,3,4,2,342,9,Bronze
77,12892.0,4,4,4,444,12,Bronze
78,12893.0,2,3,4,234,9,Bronze
79,12894.0,4,3,4,434,11,Bronze
80,12895.0,2,3,3,233,8,Sliver
81,12897.0,3,4,3,343,10,Bronze
82,12898.0,4,3,4,434,11,Bronze
83,12899.0,4,4,3,443,11,Bronze
84,12900.0,4,4,3,443,11,Bronze
85,12901.0,1,2,1,121,4,Gold
86,12902.0,3,4,4,344,11,Bronze
87,12903.0,4,3,2,432,9,Bronze
88,12904.0,1,2,3,123,6,Sliver
89,12905.0,4,2,2,422,8,Sliver
90,12906.0,1,2,1,121,4,Gold
91,12907.0,4,3,3,433,10,Bronze
92,12908.0,3,4,2,342,9,Bronze
93,12909.0,2,1,1,211,4,Gold
94,12910.0,1,2,1,121,4,Gold
95,12911.0,4,1,2,412,7,Sliver
96,12912.0,1,3,2,132,6,Sliver
97,12913.0,1,2,1,121,4,Gold
98,12914.0,4,4,4,444,12,Bronze
99,12915.0,3,2,2,322,7,Sliver
100,12916.0,3,1,1,311,5,Gold
101,12917.0,3,3,1,331,7,Sliver
102,12918.0,4,4,1,441,9,Bronze
103,12919.0,1,3,2,132,6,Sliver
104,12920.0,1,2,3,123,6,Sliver
105,12921.0,1,1,1,111,3,Gold
106,12922.0,3,3,3,333,9,Bronze
107,12923.0,2,2,3,223,7,Sliver
108,12924.0,2,2,1,221,5,Gold
109,12925.0,1,3,3,133,7,Sliver
110,12926.0,4,1,2,412,7,Sliver
111,12927.0,4,4,4,444,12,Bronze
112,12928.0,2,1,1,211,4,Gold
113,12929.0,3,4,4,344,11,Bronze
114,12930.0,2,3,3,233,8,Sliver
115,12931.0,1,1,1,111,3,Gold
116,12932.0,4,2,2,422,8,Sliver
117,12933.0,1,1,2,112,4,Gold
118,12934.0,4,4,4,444,12,Bronze
119,12935.0,1,1,1,111,3,Gold
120,12936.0,1,2,2,122,5,Gold
121,12937.0,1,1,1,111,3,Gold
122,12938.0,1,4,4,144,9,Bronze
123,12939.0,2,2,1,221,5,Gold
124,12940.0,2,2,2,222,6,Sliver
125,12941.0,4,3,3,433,10,Bronze
126,12942.0,3,2,3,323,8,Sliver
127,12943.0,4,3,3,433,10,Bronze
128,12944.0,2,3,3,233,8,Sliver
129,12945.0,3,3,2,332,8,Sliver
130,12946.0,4,4,4,444,12,Bronze
131,12947.0,3,2,2,322,7,Sliver
132,12948.0,1,2,1,121,4,Gold
133,12949.0,2,1,1,211,4,Gold
134,12950.0,1,3,2,132,6,Sliver
135,12951.0,1,1,1,111,3,Gold
136,12952.0,1,2,2,122,5,Gold
137,12953.0,1,3,3,133,7,Sliver
138,12954.0,4,4,4,444,12,Bronze
139,12955.0,1,1,1,111,3,Gold
140,12956.0,3,3,3,333,9,Bronze
141,12957.0,1,1,1,111,3,Gold
142,12958.0,4,3,3,433,10,Bronze
143,12959.0,4,4,4,444,12,Bronze
144,12960.0,4,2,2,422,8,Sliver
145,12961.0,3,3,4,334,10,Bronze
146,12962.0,1,4,4,144,9,Bronze
147,12963.0,1,1,1,111,3,Gold
148,12964.0,4,3,4,434,11,Bronze
149,12965.0,2,2,3,223,7,Sliver
150,12966.0,1,4,4,144,9,Bronze
151,12967.0,3,2,1,321,6,Sliver
152,12968.0,3,4,4,344,11,Bronze
153,12969.0,4,4,4,444,12,Bronze
154,12970.0,1,1,2,112,4,Gold
155,12971.0,1,1,1,111,3,Gold
156,12972.0,4,2,2,422,8,Sliver
157,12973.0,4,4,3,443,11,Bronze
158,12974.0,3,3,3,333,9,Bronze
159,12975.0,4,2,2,422,8,Sliver
160,12976.0,3,1,1,311,5,Gold
161,12977.0,3,2,3,323,8,Sliver
162,12978.0,4,1,1,411,6,Sliver
163,12980.0,3,3,1,331,7,Sliver
164,12981.0,2,4,3,243,9,Bronze
165,12982.0,3,1,1,311,5,Gold
166,12983.0,4,3,3,433,10,Bronze
167,12984.0,1,4,4,144,9,Bronze
168,12985.0,1,2,2,122,5,Gold
169,12986.0,4,2,1,421,7,Sliver
170,12987.0,2,2,2,222,6,Sliver
171,12988.0,3,2,3,323,8,Sliver
172,12989.0,1,2,1,121,4,Gold
173,12990.0,2,3,2,232,7,Sliver
174,12991.0,1,3,3,133,7,Sliver
175,12992.0,4,4,4,444,12,Bronze
176,12993.0,1,2,2,122,5,Gold
177,12994.0,1,2,2,122,5,Gold
178,12995.0,2,4,4,244,10,Bronze
179,12996.0,3,3,3,333,9,Bronze
180,12997.0,1,2,2,122,5,Gold
181,12998.0,4,2,2,422,8,Sliver
182,12999.0,3,3,3,333,9,Bronze
183,13000.0,3,2,2,322,7,Sliver
184,13001.0,1,1,1,111,3,Gold
185,13002.0,3,3,3,333,9,Bronze
186,13003.0,3,4,4,344,11,Bronze
187,13004.0,1,1,1,111,3,Gold
188,13005.0,3,2,2,322,7,Sliver
189,13006.0,2,4,4,244,10,Bronze
190,13007.0,4,4,4,444,12,Bronze
191,13008.0,3,3,3,333,9,Bronze
192,13009.0,4,4,4,444,12,Bronze
193,13010.0,3,4,4,344,11,Bronze
194,13011.0,3,4,4,344,11,Bronze
195,13012.0,1,1,1,111,3,Gold
196,13013.0,1,1,1,111,3,Gold
197,13014.0,1,1,1,111,3,Gold
198,13015.0,2,1,1,211,4,Gold
199,13016.0,2,3,3,233,8,Sliver
200,13017.0,1,4,4,144,9,Bronze
201,13018.0,1,1,1,111,3,Gold
202,13019.0,3,2,2,322,7,Sliver
203,13020.0,4,3,3,433,10,Bronze
204,13021.0,1,1,1,111,3,Gold
205,13023.0,2,2,2,222,6,Sliver
206,13024.0,4,3,3,433,10,Bronze
207,13025.0,4,4,4,444,12,Bronze
208,13026.0,1,2,2,122,5,Gold
209,13027.0,3,2,1,321,6,Sliver
210,13028.0,1,3,3,133,7,Sliver
211,13029.0,2,4,2,242,8,Sliver
212,13030.0,1,2,3,123,6,Sliver
213,13031.0,4,1,1,411,6,Sliver
214,13032.0,2,1,1,211,4,Gold
215,13033.0,3,4,4,344,11,Bronze
216,13034.0,2,3,3,233,8,Sliver
217,13035.0,2,3,2,232,7,Sliver
218,13036.0,4,4,4,444,12,Bronze
219,13037.0,3,1,1,311,5,Gold
220,13038.0,2,3,2,232,7,Sliver
